Category,Product_Name,Price_VAT
ПРОБООТБОРНИКИ ДЛЯ ГАЗОВ,Пробоотборник ПГО-400 (сталь 12Х18Н10Т),23400
ПРОБООТБОРНИКИ ДЛЯ ГАЗОВ,Пробоотборник ПГО-400 (сталь 12Х18Н10Т) с манометром и футляром,35760
ПРОБООТБОРНИКИ ДЛЯ ГАЗОВ,Пробоотборник ПГО-100 (сталь 12Х18Н10Т),21600
ПРОБООТБОРНИКИ ДЛЯ ГАЗОВ,Пробоотборник ПГО-50 (сталь 12Х18Н10Т),17520
ПРОБООТБОРНИКИ ДЛЯ ГАЗОВ,Пробоотборник ПГО-50 (сталь 12Х18Н10Т) с манометром и футляром,29880
ПРОБООТБОРНИКИ ДЛЯ ГАЗОВ,Пробоотборник ПГО-1000 (сталь 12Х18Н10Т),45000
ПРОБООТБОРНИКИ ДЛЯ ГАЗОВ,Переходник к ПГО (сталь 12Х18Н10Т),3000
ПРОБООТБОРНИКИ ДЛЯ ГАЗОВ,Футляр для ПГО-400/ПГО-50,4200
ПРОБООТБОРНИКИ ДЛЯ НЕФТЕПРОДУКТОВ,Пробоотборник ПЭ-1620 (нержавеющая сталь),18900
ПРОБООТБОРНИКИ ДЛЯ НЕФТЕПРОДУКТОВ,Пробоотборник ПЭ-1650 (нержавеющая сталь),23100
ПРОБООТБОРНИКИ ДЛЯ НЕФТЕПРОДУКТОВ,Пробоотборник ПН-10 (латунь),12600
ПРОБООТБОРНИКИ ДЛЯ НЕФТЕПРОДУКТОВ,Пробоотборник ПН-2 (латунь),11400
ПРОБООТБОРНИКИ ДЛЯ НЕФТЕПРОДУКТОВ,Пробоотборник ПН-3 (латунь),13200
ПРОБООТБОРНИКИ ДЛЯ НЕФТЕПРОДУКТОВ,Пробоотборник ПН-5 (латунь),15600
ПРОБООТБОРНИКИ ДЛЯ НЕФТЕПРОДУКТОВ,Пробоотборник ПН-6 (латунь),17400
ПРОБООТБОРНИКИ ДЛЯ НЕФТЕПРОДУКТОВ,Пробоотборник ПН-7 (латунь),16200
ПРОБООТБОРНИКИ ДЛЯ НЕФТЕПРОДУКТОВ,Пробоотборник ПН-8 (латунь),18300
ПРОБООТБОРНИКИ ДЛЯ НЕФТЕПРОДУКТОВ,Пробоотборник ПН-11 (латунь),13800
ЗАПОРНО-РЕГУЛИРУЮЩАЯ АРМАТУРА,Вентиль ВИ-64-6 G1/4" (сталь 12Х18Н10Т),4500
ЗАПОРНО-РЕГУЛИРУЮЩАЯ АРМАТУРА,Вентиль ВИ-64-6 G1/2" (сталь 12Х18Н10Т),4800
ЗАПОРНО-РЕГУЛИРУЮЩАЯ АРМАТУРА,Вентиль ВИ-64-6 M14х1.5 (сталь 12Х18Н10Т),4500
ЗАПОРНО-РЕГУЛИРУЮЩАЯ АРМАТУРА,Вентиль ВИ-64-6 M20х1.5 (сталь 12Х18Н10Т),4800
ВИСКОЗИМЕТРЫ,Вискозиметр ВЗ-246 (алюминий) на ножках,10200
ВИСКОЗИМЕТРЫ,Вискозиметр ВЗ-246 (алюминий) погружной,9600
ВИСКОЗИМЕТРЫ,Вискозиметр ВЗ-246 (нержавеющая сталь) на ножках,21000
ВИСКОЗИМЕТРЫ,Вискозиметр ВЗ-246 (нержавеющая сталь) погружной,19800
МЕДНЫЕ ПЛАСТИНЫ,Пластина медная (40х50х2) марка М0 или М1,1020
МЕДНЫЕ ПЛАСТИНЫ,Пластина медная (75х12.5х2) марка М0 или М1,1020
МЕДНЫЕ ПЛАСТИНЫ,Набор медных пластин (30 шт) марка М0 или М1,28200
МЕДНЫЕ ПЛАСТИНЫ,Держатель для полировки пластин (нержавеющая сталь),4200
МЕДНЫЕ ПЛАСТИНЫ,Бомба Рейда (сталь 12Х18Н10Т) в сборе,45000
ЗИП ДЛЯ ППД 0.15-2.0Л,Кольцо поршня уплотнительное (фторсиликон) - 1 шт,4248
ЗИП ДЛЯ ППД 0.15-2.0Л,Уплотнение фланца (Ф4) - 1 шт,1668
ЗИП ДЛЯ ППД 0.15-2.0Л,Уплотнение заглушки G1/2" (МБС) - 1 шт,468
ЗИП ДЛЯ ППД 0.15-2.0Л,Уплотнение вентиля ВИ-64-6 G1/4" (PEEK) - 1 шт,1824
ДОПОЛНИТЕЛЬНЫЕ ТОВАРЫ/УСЛУГИ,Манометр к БР,6708
ДОПОЛНИТЕЛЬНЫЕ ТОВАРЫ/УСЛУГИ,Накатка на корпусе БР,3528
ДОПОЛНИТЕЛЬНЫЕ ТОВАРЫ/УСЛУГИ,Байонетное соединение к БР,1260
